exchange,contract_ticker,underlying_ticker,name,asset_type,quote_currency,status,max_leverage,market_region,source_endpoint,classification_method,confidence,collected_at_utc
KuCoin,BBXUSDTM,BBX,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,BEUSDTM,BE,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,BMNRUSDTM,BMNR,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,BNCUSDTM,BNC,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,BOTUSDTM,BOT,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,BRKBUSDTM,BRKB,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,BSPUSDTM,BSP,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,BXUSDTM,BX,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,BYDUSDTM,BYD,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,CBRSUSDTM,CBRS,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,CIENUSDTM,CIEN,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,COHRUSDTM,COHR,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,COINUSDTM,COIN,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,COSTUSDTM,COST,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,CRCLUSDTM,CRCL,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,CRDOUSDTM,CRDO,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,CRMUSDTM,CRM,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
KuCoin,CRWDUSDTM,CRWD,,equity,USDT,active,,US,https://api-futures.kucoin.com/api/v1/contracts/active,marketType=NASDAQ,high,2026-09-09T08:17:41+00:00
